( Z, Y, Age) = 0.004988   0.242  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 11.75  0.4149E+06   5.618     15.75  0.2644E+06   5.422     11.75  0.1446E+06   5.160
 11.50  0.4037E+06   5.606     15.50  0.2641E+06   5.422     11.50  0.1877E+06   5.274
 11.25  0.4304E+06   5.634     15.25  0.2669E+06   5.426     11.25  0.1681E+06   5.225
 11.00  0.4246E+06   5.628     15.00  0.2194E+06   5.341     11.00  0.1496E+06   5.175
 10.75  0.4017E+06   5.604     14.75  0.2373E+06   5.375     10.75  0.1323E+06   5.121
 10.50  0.3416E+06   5.533     14.50  0.2558E+06   5.408     10.50  0.1160E+06   5.064
 10.25  0.3265E+06   5.514     14.25  0.2491E+06   5.396     10.25  0.1062E+06   5.026
 10.00  0.2695E+06   5.431     14.00  0.2553E+06   5.407     10.00  0.8602E+05   4.935
  9.75  0.2153E+06   5.333     13.75  0.2542E+06   5.405      9.75  0.7189E+05   4.857
  9.50  0.1835E+06   5.264     13.50  0.2402E+06   5.381      9.50  0.5989E+05   4.777
  9.25  0.1567E+06   5.195     13.25  0.2713E+06   5.433      9.25  0.4991E+05   4.698
  9.00  0.1362E+06   5.134     13.00  0.1349E+06   5.130      9.00  0.4205E+05   4.624
  8.75  0.1042E+06   5.018     12.75  0.1946E+06   5.289      8.75  0.3637E+05   4.561
  8.50  0.8126E+05   4.910     12.50  0.1052E+06   5.022      8.50  0.2933E+05   4.467
  8.25  0.6962E+05   4.843     12.25  0.1831E+06   5.263      8.25  0.2524E+05   4.402
  8.00  0.5700E+05   4.756     12.00  0.1207E+06   5.082      8.00  0.2236E+05   4.350
  7.75  0.4468E+05   4.650     11.75  0.1457E+06   5.163      7.75  0.1924E+05   4.284
  7.50  0.3795E+05   4.579     11.50  0.2010E+06   5.303      7.50  0.1981E+05   4.297
  7.25  0.3102E+05   4.492     11.25  0.1806E+06   5.257      7.25  0.1799E+05   4.255
  7.00  0.2785E+05   4.445     11.00  0.1638E+06   5.214      7.00  0.1639E+05   4.215
  6.75  0.2504E+05   4.399     10.75  0.1371E+06   5.137      6.75  0.1762E+05   4.246
  6.50  0.2258E+05   4.354     10.50  0.1199E+06   5.079      6.50  0.1520E+05   4.182
  6.25  0.2037E+05   4.309     10.25  0.1037E+06   5.016      6.25  0.1599E+05   4.204
  6.00  0.1911E+05   4.281     10.00  0.9225E+05   4.965      6.00  0.1431E+05   4.156
  5.75  0.1654E+05   4.219      9.75  0.7731E+05   4.888      5.75  0.1425E+05   4.154
  5.50  0.1420E+05   4.152      9.50  0.6447E+05   4.809      5.50  0.1183E+05   4.073
  5.25  0.1445E+05   4.160      9.25  0.5366E+05   4.730      5.25  0.1252E+05   4.098
  5.00  0.1122E+05   4.050      9.00  0.4564E+05   4.659      5.00  0.1014E+05   4.006
  4.75  0.9873E+04   3.994      8.75  0.3882E+05   4.589      4.75  0.8580E+04   3.933
  4.50  0.8406E+04   3.925      8.50  0.3105E+05   4.492      4.50  0.7660E+04   3.884
  4.25  0.7521E+04   3.876      8.25  0.2675E+05   4.427      4.25  0.6086E+04   3.784
  4.00  0.5523E+04   3.742      8.00  0.2353E+05   4.372      4.00  0.4894E+04   3.690
  3.75  0.3858E+04   3.586      7.75  0.2156E+05   4.334      3.75  0.3207E+04   3.506
  3.50  0.2875E+04   3.459      7.50  0.1832E+05   4.263      3.50  0.2581E+04   3.412
  3.25  0.1717E+04   3.235      7.25  0.1922E+05   4.284      3.25  0.6425E+03   2.808
  3.00  0.6397E+03   2.806      7.00  0.1728E+05   4.238      3.00  0.5030E+03   2.702
  2.75  0.4897E+03   2.690      6.75  0.1687E+05   4.227      2.75  0.4282E+03   2.632
  2.50  0.4602E+03   2.663      6.50  0.1612E+05   4.207      2.50  0.3446E+03   2.537
  2.25  0.3304E+03   2.519      6.25  0.1606E+05   4.206      2.25  0.2953E+03   2.470
  2.00  0.3401E+03   2.532      6.00  0.1430E+05   4.155      2.00  0.2206E+03   2.344
  1.75  0.2172E+03   2.337      5.75  0.1493E+05   4.174      1.75  0.1942E+03   2.288
  1.50  0.2154E+03   2.333      5.50  0.1262E+05   4.101      1.50  0.1533E+03   2.186
  1.25  0.1518E+03   2.181      5.25  0.1125E+05   4.051      1.25  0.1570E+03   2.196
  1.00  0.1478E+03   2.170      5.00  0.1138E+05   4.056      1.00  0.1651E+03   2.218
  0.75  0.1239E+03   2.093      4.75  0.9151E+04   3.961      0.75  0.5848E+03   2.767
  0.50  0.2648E+03   2.423      4.50  0.7730E+04   3.888      0.50  0.4253E+03   2.629
  0.25  0.8255E+03   2.917      4.25  0.6384E+04   3.805      0.25  0.7134E+02   1.853
  0.00  0.7922E+02   1.899      4.00  0.5121E+04   3.709      0.00  0.5981E+02   1.777
 -0.25  0.6289E+02   1.799      3.75  0.3290E+04   3.517     -0.25  0.4956E+02   1.695
 -0.50  0.5520E+02   1.742      3.50  0.2994E+04   3.476     -0.50  0.4176E+02   1.621
 -0.75  0.4424E+02   1.646      3.25  0.7828E+03   2.894     -0.75  0.3404E+02   1.532
 -1.00  0.3880E+02   1.589      3.00  0.5124E+03   2.710     -1.00  0.2862E+02   1.457
 -1.25  0.3256E+02   1.513      2.75  0.4286E+03   2.632     -1.25  0.2982E+02   1.475
 -1.50  0.2648E+02   1.423      2.50  0.3944E+03   2.596     -1.50  0.2095E+02   1.321
 -1.75  0.2359E+02   1.373      2.25  0.2835E+03   2.452     -1.75  0.4334E+01   0.637
 -2.00  0.1929E+02   1.285      2.00  0.2516E+03   2.401     -2.00  0.0000E+00   0.000
 -2.25  0.1610E+02   1.207      1.75  0.1955E+03   2.291     -2.25  0.0000E+00   0.000
 -2.50  0.1438E+02   1.158      1.50  0.1610E+03   2.207     -2.50  0.0000E+00   0.000
 -2.75  0.1213E+02   1.084      1.25  0.1532E+03   2.185     -2.75  0.0000E+00   0.000
 -3.00  0.1018E+02   1.008      1.00  0.1587E+03   2.201     -3.00  0.0000E+00   0.000
