( Z, Y, Age) = 0.005344   0.243   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -9.00  0.0000E+00   0.000     -5.00 -0.3550E+06   0.000     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.1592E+07   6.202     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50 -0.6986E+06   0.000     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.005344   0.243   5.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.5661E+06   5.753
 12.50  0.0000E+00   0.000     16.50  0.0000E+00   0.000     12.50  0.4078E+06   5.610
 12.25  0.0000E+00   0.000     16.25  0.0000E+00   0.000     12.25  0.5268E+05   4.722
 12.00  0.2382E+06   5.377     16.00  0.0000E+00   0.000     12.00  0.2987E+06   5.475
 11.75  0.5742E+06   5.759     15.75  0.0000E+00   0.000     11.75  0.1720E+06   5.236
 11.50  0.8236E+06   5.916     15.50  0.0000E+00   0.000     11.50  0.2771E+06   5.443
 11.25  0.9167E+06   5.962     15.25  0.0000E+00   0.000     11.25  0.2454E+06   5.390
 11.00  0.9467E+06   5.976     15.00  0.0000E+00   0.000     11.00  0.2283E+06   5.359
 10.75  0.3465E+06   5.540     14.75  0.0000E+00   0.000     10.75  0.2555E+06   5.407
 10.50  0.8045E+06   5.906     14.50  0.2539E+06   5.405     10.50  0.1053E+06   5.022
 10.25  0.3641E+06   5.561     14.25  0.4901E+06   5.690     10.25  0.4483E+05   4.652
 10.00  0.4195E+06   5.623     14.00  0.7115E+06   5.852     10.00  0.1530E+06   5.185
  9.75  0.3583E+06   5.554     13.75  0.1065E+07   6.027      9.75  0.8886E+05   4.949
  9.50  0.2900E+06   5.462     13.50  0.4519E+06   5.655      9.50  0.7212E+05   4.858
  9.25  0.3010E+06   5.479     13.25  0.8735E+06   5.941      9.25  0.6333E+05   4.802
  9.00  0.7878E+05   4.896     13.00  0.0000E+00   0.000      9.00  0.5400E+05   4.732
  8.75  0.1719E+06   5.235     12.75  0.1890E+06   5.276      8.75  0.5011E+05   4.700
  8.50  0.1205E+06   5.081     12.50  0.7849E+06   5.895      8.50  0.4353E+05   4.639
  8.25  0.9123E+05   4.960     12.25  0.0000E+00   0.000      8.25  0.3856E+05   4.586
  8.00  0.7822E+05   4.893     12.00  0.2670E+06   5.426      8.00  0.3359E+05   4.526
  7.75  0.6778E+05   4.831     11.75  0.1385E+06   5.142      7.75  0.3301E+05   4.519
  7.50  0.6000E+05   4.778     11.50  0.3130E+06   5.496      7.50  0.3343E+05   4.524
  7.25  0.5086E+05   4.706     11.25  0.2239E+06   5.350      7.25  0.2789E+05   4.445
  7.00  0.4837E+05   4.685     11.00  0.2573E+06   5.410      7.00  0.3088E+05   4.490
  6.75  0.4395E+05   4.643     10.75  0.2173E+06   5.337      6.75  0.2985E+05   4.475
  6.50  0.4032E+05   4.606     10.50  0.2180E+06   5.339      6.50  0.3133E+05   4.496
  6.25  0.3942E+05   4.596     10.25  0.6083E+04   3.784      6.25  0.3139E+05   4.497
