( Z, Y, Age) = 0.009504   0.254   8.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
  2.50  0.1035E+04   3.015      6.50  0.2393E+05   4.379      2.50  0.6631E+03   2.822
  2.25  0.7375E+03   2.868      6.25  0.2267E+05   4.355      2.25  0.5284E+03   2.723
  2.00  0.5899E+03   2.771      6.00  0.2258E+05   4.354      2.00  0.4200E+03   2.623
  1.75  0.4638E+03   2.666      5.75  0.2135E+05   4.329      1.75  0.3513E+03   2.546
  1.50  0.3776E+03   2.577      5.50  0.2002E+05   4.301      1.50  0.2827E+03   2.451
  1.25  0.3144E+03   2.497      5.25  0.1994E+05   4.300      1.25  0.2597E+03   2.414
  1.00  0.2567E+03   2.409      5.00  0.1725E+05   4.237      1.00  0.4017E+03   2.604
  0.75  0.2245E+03   2.351      4.75  0.1645E+05   4.216      0.75  0.1381E+04   3.140
  0.50  0.3066E+03   2.487      4.50  0.1440E+05   4.158      0.50  0.4363E+03   2.640
  0.25  0.1744E+04   3.242      4.25  0.1195E+05   4.077      0.25  0.1386E+03   2.142
  0.00  0.1498E+03   2.175      4.00  0.1065E+05   4.027      0.00  0.1152E+03   2.061
 -0.25  0.1202E+03   2.080      3.75  0.1067E+05   4.028     -0.25  0.9841E+02   1.993
 -0.50  0.1119E+03   2.049      3.50  0.7783E+04   3.891     -0.50  0.8929E+02   1.951
 -0.75  0.8456E+02   1.927      3.25  0.1680E+04   3.225     -0.75  0.1050E+03   2.021
 -1.00  0.8037E+02   1.905      3.00  0.1189E+04   3.075     -1.00  0.7137E+02   1.854
 -1.25  0.6024E+02   1.780      2.75  0.9555E+03   2.980     -1.25  0.3617E+00  -0.442
 -1.50  0.5704E+02   1.756      2.50  0.7394E+03   2.869     -1.50  0.0000E+00   0.000
 -1.75  0.4325E+02   1.636      2.25  0.5431E+03   2.735     -1.75  0.0000E+00   0.000
 -2.00  0.3984E+02   1.600      2.00  0.4544E+03   2.657     -2.00  0.0000E+00   0.000
 -2.25  0.3258E+02   1.513      1.75  0.3617E+03   2.558     -2.25  0.0000E+00   0.000
 -2.50  0.2786E+02   1.445      1.50  0.3007E+03   2.478     -2.50  0.0000E+00   0.000
 -2.75  0.2521E+02   1.402      1.25  0.2515E+03   2.401     -2.75  0.0000E+00   0.000
 -3.00  0.2001E+02   1.301      1.00  0.3736E+03   2.572     -3.00  0.0000E+00   0.000
 -3.25  0.1911E+02   1.281      0.75  0.1041E+04   3.017     -3.25  0.0000E+00   0.000
 -3.50  0.1584E+02   1.200      0.50  0.8390E+03   2.924     -3.50  0.0000E+00   0.000
 -3.75  0.7589E+01   0.880      0.25  0.1450E+03   2.161     -3.75  0.0000E+00   0.000
 -4.00  0.1968E+01   0.294      0.00  0.1213E+03   2.084     -4.00  0.0000E+00   0.000
 -4.25  0.1682E+01   0.226     -0.25  0.1014E+03   2.006     -4.25  0.0000E+00   0.000
 -4.50  0.1467E+01   0.167     -0.50  0.9127E+02   1.960     -4.50  0.0000E+00   0.000
 -4.75  0.1282E+01   0.108     -0.75  0.9141E+02   1.961     -4.75  0.0000E+00   0.000
 -5.00  0.8420E+00  -0.075     -1.00  0.1039E+03   2.016     -5.00  0.0000E+00   0.000
 -5.25  0.1048E-01  -1.980     -1.25  0.9752E+01   0.989     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.0000E+00   0.000     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.0000E+00   0.000     -5.75  0.0000E+00   0.000
