( Z, Y, Age) = 0.007549   0.249   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
  3.75  0.1232E+05   4.091      7.75  0.2433E+05   4.386      3.75  0.1168E+05   4.067
  3.50  0.1152E+05   4.061      7.50  0.2200E+05   4.342      3.50  0.1124E+05   4.051
  3.25  0.1145E+05   4.059      7.25  0.2158E+05   4.334      3.25  0.1137E+05   4.056
  3.00  0.1158E+05   4.064      7.00  0.2164E+05   4.335      3.00  0.9019E+04   3.955
  2.75  0.8916E+04   3.950      6.75  0.1994E+05   4.300      2.75  0.1085E+05   4.036
  2.50  0.1041E+05   4.017      6.50  0.1928E+05   4.285      2.50  0.9177E+04   3.963
  2.25  0.7009E+04   3.846      6.25  0.1905E+05   4.280      2.25  0.6371E+04   3.804
  2.00  0.5723E+04   3.758      6.00  0.1881E+05   4.274      2.00  0.5512E+04   3.741
  1.75  0.3901E+04   3.591      5.75  0.1812E+05   4.258      1.75  0.3365E+04   3.527
  1.50  0.3973E+04   3.599      5.50  0.1780E+05   4.250      1.50  0.3928E+04   3.594
  1.25  0.3679E+04   3.566      5.25  0.1721E+05   4.236      1.25  0.3606E+04   3.557
  1.00  0.2125E+04   3.327      5.00  0.1567E+05   4.195      1.00  0.3755E+04   3.575
  0.75  0.2163E+04   3.335      4.75  0.1494E+05   4.174      0.75  0.2584E+04   3.412
  0.50  0.2324E+04   3.366      4.50  0.1404E+05   4.148      0.50  0.2707E+04   3.433
  0.25  0.2549E+04   3.406      4.25  0.1343E+05   4.128      0.25  0.6541E+03   2.816
  0.00  0.1189E+04   3.075      4.00  0.1238E+05   4.093      0.00  0.2289E+03   2.360
 -0.25  0.3374E+03   2.528      3.75  0.1160E+05   4.064     -0.25  0.3874E+03   2.588
 -0.50  0.2259E+03   2.354      3.50  0.1151E+05   4.061     -0.50  0.2397E+03   2.380
 -0.75  0.3312E+03   2.520      3.25  0.1138E+05   4.056     -0.75  0.1741E+03   2.241
 -1.00  0.2013E+03   2.304      3.00  0.9697E+04   3.987     -1.00  0.9667E+02   1.985
 -1.25  0.1512E+03   2.180      2.75  0.1036E+05   4.015     -1.25  0.7679E+02   1.885
 -1.50  0.9443E+02   1.975      2.50  0.9672E+04   3.986     -1.50  0.5999E+02   1.778
 -1.75  0.6708E+02   1.827      2.25  0.6737E+04   3.828     -1.75  0.5490E+02   1.740
 -2.00  0.5382E+02   1.731      2.00  0.5616E+04   3.749     -2.00  0.5396E+02   1.732
 -2.25  0.4273E+02   1.631      1.75  0.3535E+04   3.548     -2.25  0.1799E+02   1.255
 -2.50  0.3596E+02   1.556      1.50  0.3896E+04   3.591     -2.50  0.5297E+00  -0.276
 -2.75  0.2882E+02   1.460      1.25  0.3419E+04   3.534     -2.75  0.0000E+00   0.000
 -3.00  0.2792E+02   1.446      1.00  0.3494E+04   3.543     -3.00  0.0000E+00   0.000
 -3.25  0.2271E+02   1.356      0.75  0.2729E+04   3.436     -3.25  0.0000E+00   0.000
 -3.50  0.2086E+02   1.319      0.50  0.2905E+04   3.463     -3.50  0.0000E+00   0.000
 -3.75  0.1626E+02   1.211      0.25  0.1006E+04   3.003     -3.75  0.0000E+00   0.000
 -4.00  0.9416E+01   0.974      0.00  0.2324E+03   2.366     -4.00  0.0000E+00   0.000
 -4.25  0.9698E+01   0.987     -0.25  0.3688E+03   2.567     -4.25  0.0000E+00   0.000
 -4.50  0.1029E+02   1.013     -0.50  0.2798E+03   2.447     -4.50  0.0000E+00   0.000
 -4.75  0.1115E+02   1.047     -0.75  0.1893E+03   2.277     -4.75  0.0000E+00   0.000
 -5.00  0.9338E+01   0.970     -1.00  0.1117E+03   2.048     -5.00  0.0000E+00   0.000
 -5.25  0.4636E+01   0.666     -1.25  0.8218E+02   1.915     -5.25  0.0000E+00   0.000
 -5.50  0.1264E-01  -1.898     -1.50  0.6418E+02   1.807     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.5371E+02   1.730     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.5909E+02   1.771     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.2765E+02   1.442     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.4542E+01   0.657     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.0000E+00   0.000     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.0000E+00   0.000     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.0000E+00   0.000     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.0000E+00   0.000     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.0000E+00   0.000     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.0000E+00   0.000     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.0000E+00   0.000     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.0000E+00   0.000     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.0000E+00   0.000     -8.75  0.0000E+00   0.000
